imagen,clase,tecnica,psnr,ssim,entropia
c800df6e_L_MLO_44d35d15.png,Alto_Riesgo,HE,2.31,0.091,1.63
c800df6e_L_CC_33755fea.png,Alto_Riesgo,HE,1.6,0.048,1.13
c82df7b0_R_CC_3527d9a4.png,Alto_Riesgo,HE,1.5,0.042,1.06
c82df7b0_R_MLO_437a5cf5.png,Alto_Riesgo,HE,2.51,0.106,1.78
c8be7233_R_CC_0d58856b.png,Alto_Riesgo,HE,1.21,0.029,0.84
c8be7233_R_MLO_c440e178.png,Alto_Riesgo,HE,1.55,0.044,1.09
c947855a_R_CC_c2a17760.png,Alto_Riesgo,HE,1.98,0.067,1.43
c9881e07_L_MLO_1bc0bb50.png,Alto_Riesgo,HE,2.43,0.099,1.71
c947855a_R_MLO_862e22b0.png,Alto_Riesgo,HE,3.79,0.213,2.74
c9881e07_L_CC_45b1879e.png,Alto_Riesgo,HE,1.65,0.05,1.17
c9920022_L_CC_e2a9f68e.png,Alto_Riesgo,HE,2.6,0.112,1.96
c9920022_L_MLO_8470557f.png,Alto_Riesgo,HE,3.58,0.194,2.62
c9bf7a8a_R_CC_6db25afb.png,Alto_Riesgo,HE,1.56,0.045,1.1
c9bf7a8a_R_MLO_b934cdb3.png,Alto_Riesgo,HE,2.39,0.095,1.67
cae2f2ba_L_MLO_63f4053d.png,Alto_Riesgo,HE,2.44,0.092,1.74
cae2f2ba_L_CC_8c91dd4b.png,Alto_Riesgo,HE,1.63,0.042,1.17
cbc4bb64_L_CC_f51e0c5d.png,Alto_Riesgo,HE,1.11,0.026,0.77
cbc4bb64_L_MLO_31573a03.png,Alto_Riesgo,HE,1.66,0.05,1.17
cc608bc4_L_CC_08022073.png,Alto_Riesgo,HE,1.02,0.02,0.7
cbefbe01_L_MLO_f978cb9d.png,Alto_Riesgo,HE,3.2,0.159,2.38
cbefbe01_L_CC_6ec73d7e.png,Alto_Riesgo,HE,2.4,0.098,1.85
cc764da4_R_MLO_472a2fe6.png,Alto_Riesgo,HE,2.17,0.08,1.53
